# Sorted by L2 distance (descending).  '4+4' vs '4+9' at step02
# layer = -1 means a final / post-transformer tensor.
layer  tensor                                         L2       cos
   31  q_post_qknorm_last                         9.3305    0.9928
   31  q_post_rope_last                           9.3278    0.9928
    5  attn_logits_last                           9.3184    0.9981
   32  attn_out_post_oproj_last                   9.2598    0.9799
   25  v_last                                     9.2535    0.9606
    1  attn_logits_last                           9.2438    0.9990
   24  v_last                                     9.1807    0.9583
   29  k_post_qknorm_last                         9.1645    0.9888
   29  k_post_rope_last                           9.1641    0.9888
   25  k_post_qknorm_last                         9.1295    0.9914
   25  k_post_rope_last                           9.1284    0.9914
   25  h_after_post_attn_ln_last                  9.1275    0.9688
   22  h_after_post_attn_ln_last                  9.0940    0.9515
   24  attn_out_post_oproj_last                   9.0531    0.9506
   34  q_post_rope_last                           9.0059    0.9963
   34  q_post_qknorm_last                         9.0054    0.9963
   23  h_after_post_attn_ln_last                  8.9933    0.9584
   24  h_after_post_attn_ln_last                  8.9805    0.9657
   32  q_post_rope_last                           8.9563    0.9956
   32  q_post_qknorm_last                         8.9555    0.9956
   19  h_after_input_ln_last                      8.8770    0.9676
   16  h_after_post_attn_ln_last                  8.7983    0.8913
   19  mlp_out_last                               8.7983    0.9073
   22  k_pre_qknorm_last                          8.7774    0.9846
   30  attn_out_post_oproj_last                   8.7616    0.9813
   25  k_pre_qknorm_last                          8.7441    0.9894
   28  attn_logits_last                           8.7269    0.9981
   27  k_post_rope_last                           8.7112    0.9891
   27  k_post_qknorm_last                         8.7090    0.9891
   18  h_after_post_attn_ln_last                  8.6921    0.9049
   26  attn_logits_last                           8.6878    0.9976
   19  h_after_post_attn_ln_last                  8.5846    0.9233
   31  attn_logits_last                           8.5809    0.9986
   15  q_pre_qknorm_last                          8.5521    0.9894
   33  attn_logits_last                           8.4532    0.9985
   14  attn_logits_last                           8.4194    0.9963
   12  attn_logits_last                           8.3905    0.9975
   30  attn_logits_last                           8.3435    0.9989
   28  k_post_qknorm_last                         8.3280    0.9909
   28  k_post_rope_last                           8.3279    0.9909
   19  v_last                                     8.2817    0.8885
   20  h_after_input_ln_last                      8.2815    0.9701
    9  q_post_rope_last                           8.2374    0.9946
    9  q_post_qknorm_last                         8.2371    0.9946
   17  h_after_post_attn_ln_last                  8.2259    0.9034
   33  k_post_rope_last                           8.2061    0.9889
   33  k_post_qknorm_last                         8.2057    0.9890
   29  attn_logits_last                           8.1488    0.9988
   28  attn_out_pre_oproj_last                    8.1369    0.9676
   28  attn_out_post_oproj_last                   8.1001    0.9597
   24  attn_out_pre_oproj_last                    8.0619    0.9551
   30  k_post_rope_last                           7.9822    0.9931
   30  k_post_qknorm_last                         7.9773    0.9931
   14  q_pre_qknorm_last                          7.9537    0.9902
   30  attn_out_pre_oproj_last                    7.8856    0.9796
   31  k_post_rope_last                           7.8826    0.9914
   31  k_post_qknorm_last                         7.8805    0.9914
   21  k_pre_qknorm_last                          7.8128    0.9825
   10  k_post_rope_last                           7.7470    0.9967
   10  k_post_qknorm_last                         7.7433    0.9967
   32  attn_out_pre_oproj_last                    7.7380    0.9811
   11  k_post_rope_last                           7.7315    0.9965
   11  k_post_qknorm_last                         7.7300    0.9965
   18  mlp_out_last                               7.7072    0.8887
   15  h_after_post_attn_ln_last                  7.7047    0.9109
   16  mlp_out_last                               7.7027    0.8795
   23  attn_out_pre_oproj_last                    7.6660    0.9575
   12  k_post_rope_last                           7.6284    0.9945
   12  k_post_qknorm_last                         7.6269    0.9945
   33  q_post_qknorm_last                         7.5430    0.9930
   33  q_post_rope_last                           7.5415    0.9930
   20  v_last                                     7.4426    0.9020
   33  attn_out_post_oproj_last                   7.4077    0.9829
   25  attn_logits_last                           7.3980    0.9988
   19  k_pre_qknorm_last                          7.3830    0.9796
   35  k_post_rope_last                           7.2965    0.9975
   35  k_post_qknorm_last                         7.2963    0.9975
   12  hidden_out_last                            7.2948    0.9826
   13  hidden_in_last                             7.2948    0.9826
   14  h_after_post_attn_ln_last                  7.2776    0.9177
   17  mlp_out_last                               7.2528    0.8843
   23  attn_out_post_oproj_last                   7.2352    0.9495
   20  k_pre_qknorm_last                          7.2077    0.9714
   18  h_after_input_ln_last                      7.2070    0.9610
   18  v_last                                     7.1829    0.8713
    6  q_post_qknorm_last                         7.0734    0.9974
    6  q_post_rope_last                           7.0723    0.9974
   15  mlp_out_last                               6.9840    0.8891
   32  k_post_qknorm_last                         6.9722    0.9935
   32  k_post_rope_last                           6.9710    0.9935
   13  mlp_out_last                               6.9183    0.8772
   16  h_after_input_ln_last                      6.8996    0.9524
   20  attn_out_post_oproj_last                   6.8676    0.9128
   27  attn_logits_last                           6.8133    0.9988
   33  attn_out_pre_oproj_last                    6.7805    0.9859
    9  k_post_qknorm_last                         6.7574    0.9927
    9  k_post_rope_last                           6.7572    0.9927
   32  attn_logits_last                           6.7249    0.9991
   11  hidden_out_last                            6.7185    0.9847
   12  hidden_in_last                             6.7185    0.9847
   13  h_after_post_attn_ln_last                  6.7077    0.9296
    8  q_post_qknorm_last                         6.6994    0.9976
    8  q_post_rope_last                           6.6993    0.9976
   20  attn_out_pre_oproj_last                    6.6753    0.9333
   17  h_after_input_ln_last                      6.6653    0.9493
    7  q_post_rope_last                           6.6566    0.9968
    7  q_post_qknorm_last                         6.6513    0.9968
   14  mlp_out_last                               6.6384    0.8853
   17  v_last                                     6.6345    0.8613
   16  v_last                                     6.6305    0.8665
   31  attn_out_post_oproj_last                   6.5838    0.9738
   34  k_post_rope_last                           6.5631    0.9950
   34  k_post_qknorm_last                         6.5599    0.9950
   34  attn_logits_last                           6.5433    0.9992
   18  k_pre_qknorm_last                          6.4515    0.9628
   19  attn_out_pre_oproj_last                    6.2027    0.9250
    0  attn_logits_last                           6.2024    0.9985
   31  attn_out_pre_oproj_last                    6.0440    0.9760
   11  h_after_post_attn_ln_last                  5.9967    0.9357
   17  k_pre_qknorm_last                          5.9265    0.9598
    9  h_after_post_attn_ln_last                  5.8987    0.9559
   10  q_pre_qknorm_last                          5.8773    0.9952
    9  hidden_out_last                            5.8234    0.9866
   10  hidden_in_last                             5.8234    0.9866
   21  attn_out_pre_oproj_last                    5.7814    0.9586
    6  attn_logits_last                           5.6384    0.9991
   13  q_pre_qknorm_last                          5.5900    0.9939
   26  attn_out_post_oproj_last                   5.5893    0.9551
   12  h_after_post_attn_ln_last                  5.5709    0.9429
   22  attn_out_pre_oproj_last                    5.5523    0.9774
   21  attn_out_post_oproj_last                   5.4801    0.9348
   16  k_pre_qknorm_last                          5.4795    0.9703
   10  hidden_out_last                            5.4549    0.9880
   11  hidden_in_last                             5.4549    0.9880
   10  attn_logits_last                           5.4308    0.9973
   26  attn_out_pre_oproj_last                    5.4091    0.9567
   19  attn_out_post_oproj_last                   5.3915    0.9304
   10  h_after_post_attn_ln_last                  5.3304    0.9535
